2026-06-11 00:39:14,499 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-11 00:39:14,499 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-11 00:39:14,499 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-11 00:39:14,500 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-11 00:39:14,500 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-11 00:39:15,232 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-11 00:39:15,232 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-11 00:39:15,232 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-11 00:39:15,232 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-11 00:39:15,233 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-11 00:39:15,241 | INFO     | app | req=- user=- | Application created with config: development
2026-06-11 00:39:15,241 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-11 00:39:15,272 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-11 00:39:29,720 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7b2e835a4870 user=anonymous | CSVAdapter loaded entity=facilities rows=100 path=F:\Office\SampleApp4\data\facilities.csv
2026-06-11 00:39:29,725 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7b2e835a4870 user=anonymous | CSVAdapter.fetch entity=facilities entity_id=None sor='1SOR' rows_returned=17
2026-06-11 00:39:29,731 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7b2e835a4870 user=anonymous | CSVAdapter loaded entity=obligors rows=500 path=F:\Office\SampleApp4\data\obligors.csv
2026-06-11 00:39:29,734 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7b2e835a4870 user=anonymous | CSVAdapter.fetch entity=obligors entity_id=None sor='1SOR' rows_returned=84
2026-06-11 00:39:29,741 | DEBUG    | app.services.reporting_service | req=7b2e835a4870 user=anonymous | get_facilities search='' sor='1SOR' -> 17/17
2026-06-11 00:42:00,785 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-11 00:42:00,785 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-11 00:42:00,785 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-11 00:42:00,785 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-11 00:42:00,786 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-11 00:45:09,970 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-11 00:45:09,970 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-11 00:45:09,970 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-11 00:45:09,970 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-11 00:45:09,970 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-11 00:45:19,140 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-11 00:45:19,140 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-11 00:45:19,141 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-11 00:45:19,141 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-11 00:45:19,141 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 13:03:23,664 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 13:03:23,665 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 13:03:23,665 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 13:03:23,665 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-12 13:03:23,666 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 13:03:24,519 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 13:03:24,519 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 13:03:24,519 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 13:03:24,519 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-12 13:03:24,519 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 13:03:24,527 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 13:03:24,527 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 13:03:24,556 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 13:03:28,901 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=840a23e8d78b user=anonymous | CSVAdapter loaded entity=facilities rows=100 path=F:\Office\SampleApp4\data\facilities.csv
2026-06-12 13:03:28,914 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=840a23e8d78b user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:03:28,920 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=840a23e8d78b user=anonymous | CSVAdapter loaded entity=obligors rows=500 path=F:\Office\SampleApp4\data\obligors.csv
2026-06-12 13:03:28,924 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=840a23e8d78b user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:03:28,934 | DEBUG    | app.services.reporting_service | req=840a23e8d78b user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:03:35,243 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7859d832a035 user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:03:35,246 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7859d832a035 user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:03:35,249 | DEBUG    | app.services.reporting_service | req=7859d832a035 user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:03:58,360 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=69984983a661 user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:03:58,363 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=69984983a661 user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:03:58,365 | DEBUG    | app.services.reporting_service | req=69984983a661 user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:05:34,407 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=217e21320bcb user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='2SOR' rows_returned=0
2026-06-12 13:05:34,411 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=217e21320bcb user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='2SOR' rows_returned=83
2026-06-12 13:05:34,415 | DEBUG    | app.services.reporting_service | req=217e21320bcb user=anonymous | get_facilities search='' sor='2SOR' -> 0/0
2026-06-12 13:05:37,162 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7bf862c97daf user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:05:37,166 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7bf862c97daf user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:05:37,170 | DEBUG    | app.services.reporting_service | req=7bf862c97daf user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:06:43,823 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 13:06:43,823 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 13:06:43,824 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 13:06:43,824 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-12 13:06:43,824 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 13:06:43,832 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 13:06:43,832 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 13:06:43,861 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 13:07:22,290 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=762f377b4bea user=anonymous | CSVAdapter loaded entity=facilities rows=100 path=F:\Office\SampleApp4\data\facilities.csv
